user_id,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,ROI,date,time
896,Tablet,UK,55+,Male,A5630,Image,Health,Young Adults,0.0105881015454591,0.0657,Ignored,21,0.35,0.2,2025-11-18,22:20:05
827,Desktop,Germany,45-54,Female,A6480,Text,Electronics,Family Oriented,0.0221952442272127,0.0237,Ignored,28,0.15,0.35,2025-11-12,05:00:19
211,Tablet,India,18-24,Female,A7800,Text,Health,Travel Lovers,0.0817244822091468,0.1055,Commented,47,1.28,0.67,2025-10-22,05:21:08
897,Desktop,USA,25-34,Male,A1514,Video,Health,Fitness Lovers,0.1239948640524177,0.0332,Liked,55,1.2,0.34,2025-03-02,14:17:27
293,Desktop,Germany,25-34,Male,A8366,Image,Health,Tech Enthusiasts,0.044757372572763,0.1258,Shared,40,0.67,0.84,2025-07-25,09:47:22
503,Desktop,USA,25-34,Female,A7892,Text,Health,Travel Lovers,0.0105870822695937,0.131,Ignored,13,0.98,0.14,2025-06-29,20:19:52
268,Mobile,Canada,45-54,Male,A1927,Text,Electronics,Young Adults,0.0408980199446774,0.0406,Liked,11,1.31,0.13,2025-05-27,13:42:38
507,Desktop,Canada,35-44,Female,A6049,Text,Fashion,Tech Enthusiasts,0.0486866059366408,0.0997,Shared,28,0.52,0.93,2025-03-03,01:20:17
707,Mobile,UK,18-24,Female,A8295,Image,Fashion,Fitness Lovers,0.1448088973344233,0.01,Shared,51,0.52,0.28,2025-06-30,05:59:50
708,Mobile,Germany,45-54,Male,A4415,Image,Travel,Young Adults,0.1162093320928203,0.1008,Liked,44,0.98,1.2,2025-03-01,03:01:41
327,Desktop,Germany,55+,Male,A7148,Image,Automotive,Travel Lovers,0.1129050470980107,0.1068,Ignored,45,0.55,2.19,2025-12-23,18:58:28
735,Desktop,Germany,18-24,Male,A3444,Image,Fashion,Fitness Lovers,0.1490457191872641,0.1397,Shared,36,0.37,5.63,2025-08-20,16:24:01
649,Tablet,USA,45-54,Female,A2970,Image,Fashion,Tech Enthusiasts,0.1068708453263587,0.0804,Commented,31,0.37,2.32,2025-01-08,03:24:57
616,Desktop,USA,18-24,Male,A9023,Video,Electronics,Travel Lovers,0.1399016767906327,0.1204,Liked,14,0.83,2.03,2025-09-08,11:05:27
811,Desktop,India,25-34,Female,A5257,Video,Health,Travel Lovers,0.0962777936568819,0.137,Shared,50,1.0,1.32,2025-12-03,09:06:23
263,Tablet,India,35-44,Male,A3408,Video,Automotive,Family Oriented,0.0445930804496711,0.1452,Liked,48,0.21,3.08,2025-11-12,11:11:21
489,Mobile,UK,18-24,Male,A5769,Text,Travel,Travel Lovers,0.0544025177606792,0.0562,Shared,45,0.55,0.56,2025-01-08,11:19:30
616,Desktop,Germany,45-54,Male,A7990,Image,Health,Fitness Lovers,0.1449224581971549,0.0131,Shared,59,1.27,0.15,2025-03-08,15:58:22
979,Desktop,India,25-34,Female,A9973,Video,Travel,Travel Lovers,0.0577002075443995,0.1489,Liked,31,1.0,0.86,2025-11-24,22:05:33
218,Desktop,India,55+,Female,A1463,Image,Automotive,Tech Enthusiasts,0.1206505469910394,0.0714,Shared,26,0.53,1.63,2025-02-15,00:21:42
348,Mobile,UK,25-34,Female,A6280,Image,Fashion,Tech Enthusiasts,0.1456952240411272,0.0445,Shared,45,0.82,0.79,2025-05-24,03:25:48
467,Mobile,India,55+,Female,A7924,Image,Fashion,Travel Lovers,0.1170970608989082,0.0241,Commented,52,0.13,2.17,2025-12-19,13:37:31
276,Mobile,UK,25-34,Female,A1240,Video,Automotive,Travel Lovers,0.0237650342169603,0.1241,Liked,25,0.96,0.31,2025-07-25,18:38:14
927,Mobile,India,25-34,Male,A2258,Text,Electronics,Tech Enthusiasts,0.0461042590865851,0.0131,Commented,43,1.13,0.05,2025-02-01,20:29:49
796,Desktop,USA,45-54,Female,A7126,Video,Automotive,Young Adults,0.1198517728561564,0.1305,Ignored,54,0.37,4.23,2025-06-15,21:46:17
802,Desktop,USA,18-24,Female,A1402,Text,Fashion,Tech Enthusiasts,0.0759397575873877,0.0291,Shared,50,0.89,0.25,2025-07-10,13:18:53
320,Desktop,USA,35-44,Female,A3832,Video,Health,Family Oriented,0.0911155174821612,0.0113,Liked,17,0.53,0.19,2025-02-01,19:23:34
648,Mobile,India,55+,Male,A9109,Image,Fashion,Tech Enthusiasts,0.1454356997128406,0.0648,Ignored,53,1.48,0.64,2025-10-04,07:13:07
934,Tablet,Germany,45-54,Female,A2318,Video,Travel,Fitness Lovers,0.0136621176600076,0.113,Shared,38,0.89,0.17,2025-07-29,11:42:00
374,Desktop,Canada,45-54,Female,A8961,Image,Automotive,Family Oriented,0.0833073786567041,0.0373,Liked,12,1.24,0.25,2025-06-03,04:04:12
